seed,arm,event_type,subgraph,n_connections,trace_src_positive_rate,phi_tgt_positive_rate,support_rate,trace_l1,phi_l1,raw_l1,dW_l1,tag_delta_l1,support_over_trace_phi_expected,trace_phi_overlap_index,support_concentration_by_subgraph,h_mean_supported,h_mean_unsupported,h_support_ratio,corr_h_trace_src,corr_h_phi_tgt,corr_h_support,LL_special_case_flag,RR_seed_split_flag,R_event_collapse_flag,support_decomposition_verdict,trace_count,phi_count,support_count
42,exact_replay,ALL,ALL,53820,0.079599,0.047157,0.004143,19.339094,13.265068,0.006112,0.0011,0.0011,1.103843,0.087864,0.004143,0.121626,0.128135,0.949199,0.00404,-0.011105,-0.00447,0,0,0,h_not_upstream_of_9C_support,4284,2538,223
42,exact_replay,ALL,LL,11808,0.061484,0.043191,0.002541,2.686787,2.31121,0.00044,0.000162,0.000162,0.956733,0.058824,0.002541,0.163946,0.130853,1.252909,0.035342,0.021465,0.017924,1,0,0,LL_topology_support_special_case,726,510,30
42,exact_replay,ALL,LM,1824,0.072368,0.0,0.0,0.406962,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.126821,nan,0.091346,nan,nan,0,0,0,support_geometry_mixed,132,0,0
42,exact_replay,ALL,LR,11352,0.073643,0.065011,0.006871,3.713553,3.920838,0.001624,0.000283,0.000283,1.435173,0.105691,0.006871,0.150021,0.132804,1.129644,0.088667,0.006626,0.014564,0,0,0,h_not_upstream_of_9C_support,836,738,78
42,exact_replay,ALL,ML,2100,0.0,0.037143,0.0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.0,nan,0.134232,nan,nan,0.072121,nan,0,0,0,support_geometry_mixed,0,78,0
42,exact_replay,ALL,MM,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.116113,nan,nan,nan,nan,0,0,0,support_geometry_mixed,0,0,0
42,exact_replay,ALL,MR,2064,0.0,0.061047,0.0,0.0,0.62967,0.0,0.0,0.0,nan,nan,0.0,nan,0.122334,nan,nan,-0.049093,nan,0,0,0,support_geometry_mixed,0,126,0
42,exact_replay,ALL,RL,11256,0.103056,0.031983,0.003109,5.54353,1.862089,0.001171,0.000338,0.000338,0.943391,0.097222,0.003109,0.063485,0.130456,0.486641,-0.000858,-0.014959,-0.0401,0,0,0,h_not_upstream_of_9C_support,1160,360,35
42,exact_replay,ALL,RM,1656,0.078502,0.0,0.0,0.628486,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0.132473,nan,-0.051158,nan,nan,0,0,0,support_geometry_mixed,130,0,0
42,exact_replay,ALL,RR,11532,0.11273,0.062955,0.006937,6.359776,4.004298,0.002877,0.000317,0.000317,0.977495,0.110193,0.006937,0.103506,0.118218,0.875553,-0.053448,-0.052794,-0.013626,0,1,0,RR_phi_limited_seed_split,1300,726,80
