seed,arm,capture_index,capture_step,capture_signal,tag_mass,slow_delta_l1,h_l1,h_mean,h_max,h_concentration,h_effective_support,h_gini,h_tag_cosine,tag_weighted_h,h_tagged_mean,h_untagged_mean,h_tag_ratio,h_capture_corr,h_weighted_slow_delta
42,divergent_warmup_replay,9,5010,1.0,0.00076221,7.621e-05,48.83219897,0.162774,0.40695596,0.00583433,171.3994,0.48631848,0.03825812,0.11288522,0.14128584,0.16233491,0.870335,-0.0318731,1e-08
77,closed_loop,0,2001,1.0,0.0,0.0,11.56781989,0.0385594,0.08730084,0.00509174,196.3964,0.41084724,0.0,0.0,0.0,0.03852383,0.0,0.0,0.0
77,closed_loop,1,2502,1.0,0.0,0.0,16.40514532,0.05468382,0.12844963,0.00534412,187.1214,0.43844192,0.0,0.0,0.0,0.05461457,0.0,0.0,0.0
77,closed_loop,2,3003,1.0,0.00019504,1.95e-05,20.91301473,0.06971005,0.16720218,0.00551274,181.3979,0.4556084,0.07505528,0.07200271,0.06760605,0.06966071,0.970505,0.00499264,0.0
77,closed_loop,3,3504,1.0,0.00037145,3.714e-05,25.26439926,0.08421466,0.20425503,0.00558563,179.0308,0.46316093,0.07853329,0.08751332,0.08226063,0.08414303,0.977629,0.00608454,1e-08
77,closed_loop,4,4005,1.0,0.00043596,4.359e-05,29.42049573,0.09806832,0.239845,0.00564106,177.2716,0.46879906,0.07897264,0.10170232,0.096154,0.09803724,0.980791,0.00566889,1e-08
77,closed_loop,5,4506,1.0,0.00058932,5.892e-05,33.2488497,0.1108295,0.27281005,0.00568825,175.8009,0.47351751,0.08006224,0.11583377,0.10882198,0.11075014,0.98259,0.00693183,1e-08
77,closed_loop,6,5007,1.0,0.00053313,5.33e-05,37.06103224,0.12353677,0.30441149,0.00563855,177.3506,0.4698774,0.07950949,0.12782905,0.12148077,0.12344201,0.984112,0.00543663,1e-08
77,closed_loop,7,5508,1.0,0.00067715,6.77e-05,40.78691555,0.13595639,0.33515907,0.00564005,177.3033,0.4702682,0.07941106,0.14199018,0.13395938,0.13586854,0.985948,0.00680008,2e-08
77,closed_loop,8,6009,1.0,0.0008074,8.072e-05,44.02253346,0.14674178,0.36381544,0.00568759,175.8215,0.4746428,0.07821299,0.15468503,0.14497501,0.14667929,0.988381,0.00796278,2e-08
77,closed_loop,9,6510,1.0,0.00082537,8.252e-05,47.07069158,0.15690231,0.3907872,0.00571614,174.9431,0.47728713,0.07621992,0.16553039,0.15431662,0.15687306,0.983704,0.00781717,2e-08
77,closed_loop,10,7011,1.0,0.00074668,7.465e-05,49.8593074,0.16619769,0.41628379,0.00574073,174.1939,0.47957162,0.07570059,0.1743751,0.16246719,0.16622726,0.97738,0.00693574,2e-08
77,exact_replay,0,2001,1.0,0.0,0.0,11.56781989,0.0385594,0.08730084,0.00509174,196.3964,0.41084724,0.0,0.0,0.0,0.03852383,0.0,0.0,0.0
77,exact_replay,1,2502,1.0,0.0,0.0,16.40514532,0.05468382,0.12844963,0.00534412,187.1214,0.43844192,0.0,0.0,0.0,0.05461457,0.0,0.0,0.0
